device_id,chipset,cpu,gpu,screen_size_inch,refresh_rate_hz,display_type,resolution_width,resolution_height,main_camera_mp,main_camera_aperture,has_ois,optical_zoom_x,battery_mah,charging_w,weight_g,thickness_mm,has_5g
samsung_galaxy_a07_5g_14409,Mediatek Dimensity 6300 (6 nm),Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,6.7,120,"PLS LCD, 120Hz, 650 nits (typ), 800 nits (HBM)",720,1600,50,1.8,0,0.0,6000,25,199.0,8.2,1
samsung_galaxy_a17_14157,Mediatek Helio G99 (6 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,6.7,90,"Super AMOLED, 90Hz",1080,2340,50,1.8,1,0.0,5000,25,190.0,7.5,1
samsung_galaxy_a37_5g_14378,Exynos 1480 (4 nm),Octa-core (4x2.75 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Xclipse 530,6.7,120,"Super AMOLED, 120Hz, 1200 nits (HBM), 1900 nits (peak)",1080,2340,50,1.8,1,0.0,5000,45,196.0,7.4,1
samsung_galaxy_s25_fe_5g_14042,Exynos 2400 (4 nm),10-core (1x3.2GHz Cortex-X4 & 2x2.9GHz Cortex-A720 & 3x2.6GHz Cortex-A720 & 4x1.95GHz Cortex-A520),Xclipse 940,6.7,120,"Dynamic AMOLED 2X, 120Hz, HDR10+, 1900 nits (peak)",1080,2340,50,1.8,1,3.0,4900,45,190.0,7.4,1
samsung_galaxy_z_fold7_13826,Qualcomm SM8750-AC Snapdragon 8 Elite (3 nm),Octa-core (2x4.47 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),Adreno 830 (1200 MHz),8.0,120,"Foldable Dynamic LTPO AMOLED 2X, 120Hz, HDR10+, 2600 nits (peak)",1968,2184,200,1.7,1,3.0,4400,25,215.0,4.2,1
samsung_galaxy_a56_13603,Exynos 1580 (4 nm),Octa-core (1x2.9 GHz Cortex-A720 & 3x2.6 GHz Cortex-A720 & 4x1.9 GHz Cortex-A520),Xclipse 540,6.7,120,"Super AMOLED, 120Hz, HDR10+, 1200 nits (HBM), 1900 nits (peak)",1080,2340,50,1.8,1,0.0,5000,45,198.0,7.4,1
samsung_galaxy_a27_5g_14606,Qualcomm SM6475-AB Snapdragon 6 Gen 3 (4 nm),Octa-core (4x2.4 GHz Cortex-A78 & 4x1.8 GHz Cortex-A55),Adreno 710,6.7,120,"Super AMOLED, 120Hz",1080,2340,50,1.8,1,0.0,5000,25,200.0,7.8,1
xiaomi_poco_x8_pro_max_5g_14507,Mediatek Dimensity 9500s (3 nm),Octa-core (1x3.73 GHz Cortex-X925 & 3x3.3 GHz Cortex-X4 & 4x2.4 GHz Cortex-A720),Immortalis-G925 MC11,6.83,120,"AMOLED, 68B colors, 120Hz, 3840Hz PWM, Dolby Vision, HDR10+, 2000 nits (HBM), 3500 nits (peak)",1280,2772,50,1.5,1,0.0,8500,100,218.0,8.2,1
xiaomi_redmi_note_14_pro_4g__global__13614,Mediatek Helio G100 Ultra (6 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,6.67,120,"AMOLED, 1B colors, 120Hz, 1920Hz PWM, 1200 nits (HBM), 1800 nits (peak)",1080,2400,200,1.7,1,0.0,5500,45,180.0,8.2,1
xiaomi_poco_f8_pro_5g_14303,Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),Octa-core (2x4.32 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),Adreno 830,6.59,120,"AMOLED, 68B colors, 2560Hz PWM, 120Hz, Dolby Vision, HDR10+, 2000 nits (HBM), 3500 nits (peak)",1156,2510,50,1.9,1,2.5,6210,100,199.0,8.0,1
